ID,player_id
250090362,4637
250004090,4641
250090605,4642
250079580,4643
1908183,4651
250007394,4654
250067561,4658
1908151,5058
99279,10172
1908144,10178
104098,10180
250004089,10252
250047296,15550
250105410,15555
250067552,15570
250023778,15619
250047309,18999
250068778,19422
250105409,22032
250090365,31534
250004096,31538
250079579,47521
250082270,49697
1905306,10257
250027350,10258
250017370,10259
1905288,10261
250027349,10263
1905290,10374
1909761,10399
250047363,15443
250007501,15560
250097126,24883
250082259,25476
250107434,25478
1906663,25491
250082216,25492
250056782,32355
250104399,46549
250137235,46975
250137234,46986
250128784,46987
250097124,47006
250082256,47022
250055468,10117
1903503,10125
250024009,10137
250023998,10271
250058129,10272
250011854,10418
250065903,15285
1904625,15421
250058237,15470
250104503,15471
250005303,15615
250104334,24459
1907499,25446
1903501,25727
250024005,30971
250087190,31129
250104510,31141
250082009,31157
250104511,31614
250066266,31636
250067578,31820
250046694,32216
1905300,15178
1909822,10231
250041810,10233
107065,10235
250007478,10236
250017366,10237
250077497,10238
250007473,10239
1909824,10240
107067,10241
250007472,10242
250007477,10247
250013126,10248
250004648,10513
250079157,32341
250056787,43038
250056794,43039
250056786,43046
250079163,46973
250104287,46974
250097145,46996
250056795,47109
250062827,63545
250112040,276255
250097632,25729
96555,13713
250017235,13861
1905992,13862
250041690,13865
94372,13896
250017237,16390
250012145,17273
250017233,32403
250105465,45018
97460,45728
63798,46354
250078835,191850
250078833,224822
250078825,225161
250055503,225163
250062793,225181
250027591,225383
250122331,228743
250055496,229194
1908502,10142
250027234,10150
250041350,10155
250054309,10161
250005997,10163
250007458,10165
250065581,15284
250058203,15287
250081854,25513
250081851,32210
250101503,32838
250007384,45667
250081852,46639
250103199,49830
250007387,49831
250137211,49832
250092098,49835
250116151,49836
250118555,49913
250005992,50146
250137212,50150
250165536,50368
250145734,51062
250011226,4650
1901899,10088
250055453,10102
1907575,10108
250069432,10109
1907579,10111
1907576,10275
250055456,15789
250062981,24460
250055447,32223
250090634,32229
250090635,32230
250016863,38248
250090640,62712
250007210,87185
250078953,87187
250062988,87191
250103687,87195
250114459,224830
250118499,276442
250128672,276443
250114468,276444
250078955,276445
